Denmark, Crude birth rate by birth order
Last modified: 29/04/2022
Year      CBR     CBR1     CBR2     CBR3     CBR4    CBR5p
1968    15.32     6.95     5.00     2.11     0.79     0.46
1969    14.57     6.21     5.06     2.14     0.75     0.42
1970    14.36     6.02     5.16     2.12     0.69     0.38
1971    15.18     6.26     5.60     2.30     0.69     0.33
1972    15.12     6.34     5.37     2.36     0.72     0.33
1973    14.32     6.15     5.11     2.11     0.63     0.31
1974    14.14     6.24     5.06     1.99     0.57     0.27
1975    14.24     6.35     5.15     1.96     0.55     0.23
1976    12.86     5.64     4.79     1.75     0.47     0.22
1977    12.16     5.33     4.58     1.63     0.43     0.19
1978    12.15     5.35     4.70     1.56     0.40     0.15
1979    11.62     5.21     4.42     1.48     0.36     0.15
1980    11.18     5.12     4.15     1.43     0.34     0.14
1981    10.36     4.69     3.88     1.35     0.32     0.12
1982    10.29     4.62     3.91     1.32     0.32     0.11
1983     9.94     4.51     3.73     1.27     0.31     0.11
1984    10.13     4.65     3.76     1.31     0.30     0.11
1985    10.51     4.82     3.89     1.37     0.32     0.11
1986    10.80     4.98     3.95     1.40     0.34     0.12
1987    10.95     5.06     3.98     1.42     0.35     0.14
1988    11.47     5.29     4.24     1.47     0.35     0.12
1989    11.94     5.51     4.36     1.53     0.40     0.14
1990    12.33     5.67     4.44     1.67     0.41     0.15
1991    12.47     5.70     4.57     1.65     0.40     0.15
1992    13.08     5.79     4.89     1.80     0.44     0.16
1993    12.97     5.66     4.89     1.80     0.46     0.16
1994    13.38     5.77     5.02     1.93     0.49     0.17
1995    13.33     5.70     4.98     1.96     0.50     0.18
1996    12.85     5.55     4.75     1.90     0.48     0.18
1997    12.78     5.35     4.86     1.90     0.49     0.19
1998    12.45     5.22     4.75     1.82     0.47     0.19
1999    12.44     5.23     4.68     1.83     0.49     0.19
2000    12.55     5.31     4.71     1.84     0.48     0.21
2001    12.19     5.19     4.52     1.78     0.48     0.21
2002    11.90     5.03     4.44     1.74     0.48     0.21
2003    11.97     5.11     4.45     1.78     0.43     0.21
2004    11.95     5.08     4.43     1.80     0.45     0.20
2005    11.85     4.98     4.45     1.76     0.45     0.20
2006    11.94     5.07     4.47     1.77     0.45     0.19
2007    11.73     5.01     4.36     1.75     0.43     0.18
2008    11.84     5.08     4.37     1.77     0.44     0.19
2009    11.37     4.95     4.22     1.63     0.40     0.17
2010    11.43     4.99     4.23     1.65     0.39     0.16
2011    10.59     4.63     4.03     1.45     0.34     0.14
2012    10.36     4.52     3.92     1.44     0.33     0.15
2013     9.95     4.42     3.74     1.34     0.31     0.13
2014    10.08     4.51     3.80     1.33     0.31     0.13
2015    10.24     4.64     3.83     1.34     0.30     0.12
2016    10.76     5.00     3.88     1.44     0.31     0.12
2017    10.65     4.98     3.87     1.39     0.30     0.13
2018    10.61     4.91     3.92     1.36     0.30     0.11
2019    10.52     4.85     3.99     1.31     0.28     0.10
2020    10.45     4.72     4.06     1.29     0.27     0.10
2021    10.84     4.76     4.28     1.41     0.29     0.09
