Denmark, Period mean ages at birth by birth order and period mean ages at birth by birth order by age 40
Last modified: 29/04/2022
Year       MAB      MAB1      MAB2      MAB3      MAB4     MAB5p     MAB40   MAB40_1   MAB40_2   MAB40_3   MAB40_4  MAB40_5p
1968     26.51     23.48     26.81     30.04     32.24     34.79     26.27     23.41     26.72     29.77     31.66     33.56
1969     26.60     23.53     26.79     29.97     32.35     34.81     26.37     23.48     26.70     29.74     31.79     33.58
1970     26.72     23.84     26.88     29.94     32.31     35.02     26.49     23.78     26.78     29.69     31.76     33.82
1971     26.71     24.06     26.82     29.98     32.13     34.60     26.54     24.00     26.74     29.78     31.69     33.50
1972     26.69     24.02     26.87     29.97     32.16     34.71     26.53     23.98     26.80     29.80     31.72     33.41
1973     26.66     24.03     27.06     29.99     32.27     34.79     26.49     23.98     26.98     29.83     31.85     33.50
1974     26.58     24.01     27.18     30.08     32.27     34.67     26.42     23.96     27.10     29.91     31.78     33.52
1975     26.43     23.92     27.11     30.06     32.23     34.76     26.29     23.87     27.05     29.91     31.75     33.55
1976     26.57     24.03     27.24     30.28     32.47     35.17     26.42     23.99     27.18     30.12     31.94     33.77
1977     26.53     24.06     27.23     30.28     32.49     34.76     26.40     24.03     27.17     30.11     31.98     33.46
1978     26.63     24.29     27.28     30.47     32.74     35.43     26.52     24.24     27.24     30.30     32.36     34.19
1979     26.74     24.44     27.45     30.56     32.80     35.22     26.61     24.39     27.39     30.39     32.30     33.87
1980     26.82     24.60     27.55     30.58     32.72     35.29     26.70     24.56     27.50     30.39     32.23     33.89
1981     26.96     24.77     27.61     30.75     32.73     35.06     26.82     24.73     27.55     30.53     32.13     33.72
1982     27.15     24.96     27.85     30.79     32.89     35.18     27.02     24.92     27.79     30.58     32.34     33.83
1983     27.35     25.19     28.06     30.89     33.14     35.20     27.21     25.14     27.99     30.66     32.54     33.92
1984     27.54     25.42     28.25     31.12     33.06     35.24     27.42     25.37     28.19     30.93     32.48     34.13
1985     27.75     25.60     28.47     31.22     33.34     35.41     27.60     25.57     28.39     30.98     32.60     33.96
1986     27.90     25.74     28.64     31.41     33.31     35.45     27.75     25.69     28.56     31.15     32.64     33.92
1987     28.08     25.96     28.77     31.45     33.29     35.15     27.93     25.93     28.70     31.20     32.68     33.91
1988     28.21     26.15     28.96     31.46     33.41     34.94     28.06     26.10     28.87     31.22     32.77     33.71
1989     28.35     26.26     29.08     31.67     33.24     35.09     28.19     26.21     28.98     31.40     32.64     33.82
1990     28.46     26.35     29.19     31.64     33.40     35.17     28.29     26.29     29.09     31.38     32.82     34.06
1991     28.63     26.61     29.29     31.86     33.20     35.07     28.46     26.55     29.19     31.57     32.61     33.97
1992     28.76     26.72     29.42     31.83     33.18     34.72     28.59     26.66     29.28     31.54     32.66     33.70
1993     28.93     26.89     29.53     31.93     33.41     34.93     28.74     26.81     29.40     31.64     32.80     33.63
1994     29.09     27.03     29.71     31.98     33.53     34.72     28.90     26.94     29.58     31.70     32.95     33.68
1995     29.20     27.16     29.84     32.03     33.40     34.63     29.02     27.08     29.71     31.75     32.79     33.69
1996     29.27     27.27     29.93     32.11     33.28     34.81     29.07     27.18     29.78     31.78     32.72     33.82
1997     29.42     27.40     30.02     32.21     33.42     34.66     29.21     27.30     29.88     31.93     32.73     33.68
