Denmark, Period total fertility rates by birth order and period total fertility rates by birth order by age 40
Last modified: 29/04/2022
Year       TFR      TFR1      TFR2      TFR3      TFR4     TFR5p     TFR40   TFR40_1   TFR40_2   TFR40_3   TFR40_4  TFR40_5p
1968     2.117     0.895     0.695     0.323     0.126     0.077     2.084     0.892     0.690     0.316     0.119     0.066
1969     1.998     0.802     0.688     0.320     0.119     0.069     1.969     0.799     0.684     0.314     0.112     0.060
1970     1.949     0.778     0.691     0.310     0.108     0.062     1.921     0.775     0.686     0.304     0.102     0.053
1971     2.043     0.813     0.740     0.329     0.106     0.054     2.019     0.810     0.736     0.324     0.101     0.047
1972     2.029     0.832     0.705     0.332     0.107     0.053     2.007     0.831     0.702     0.328     0.103     0.045
1973     1.917     0.816     0.669     0.291     0.093     0.048     1.896     0.814     0.665     0.287     0.089     0.041
1974     1.896     0.838     0.664     0.270     0.082     0.042     1.877     0.835     0.661     0.267     0.078     0.036
1975     1.919     0.863     0.680     0.262     0.078     0.035     1.901     0.861     0.677     0.259     0.074     0.030
1976     1.748     0.775     0.640     0.235     0.066     0.033     1.731     0.773     0.637     0.232     0.062     0.027
1977     1.661     0.738     0.619     0.218     0.059     0.027     1.646     0.736     0.616     0.215     0.056     0.023
1978     1.669     0.744     0.641     0.208     0.055     0.022     1.656     0.742     0.639     0.205     0.052     0.018
1979     1.602     0.726     0.607     0.198     0.049     0.022     1.589     0.724     0.605     0.195     0.047     0.018
1980     1.547     0.715     0.573     0.193     0.046     0.020     1.534     0.713     0.571     0.189     0.044     0.017
1981     1.437     0.655     0.539     0.184     0.043     0.017     1.425     0.653     0.537     0.180     0.040     0.014
1982     1.427     0.643     0.546     0.180     0.043     0.015     1.415     0.642     0.543     0.177     0.041     0.013
1983     1.377     0.625     0.521     0.175     0.042     0.015     1.365     0.623     0.519     0.172     0.039     0.013
1984     1.400     0.640     0.524     0.181     0.041     0.015     1.388     0.638     0.521     0.178     0.039     0.013
1985     1.447     0.658     0.541     0.190     0.044     0.015     1.432     0.656     0.538     0.185     0.041     0.012
1986     1.480     0.674     0.548     0.195     0.047     0.016     1.463     0.672     0.544     0.190     0.044     0.013
1987     1.495     0.681     0.548     0.198     0.049     0.019     1.480     0.679     0.545     0.193     0.045     0.017
1988     1.559     0.708     0.582     0.204     0.049     0.016     1.542     0.706     0.578     0.200     0.045     0.014
1989     1.619     0.737     0.595     0.212     0.055     0.019     1.600     0.735     0.590     0.207     0.052     0.016
1990     1.667     0.757     0.602     0.230     0.057     0.020     1.647     0.754     0.596     0.225     0.054     0.018
1991     1.681     0.761     0.616     0.227     0.056     0.021     1.660     0.758     0.611     0.220     0.052     0.018
1992     1.761     0.775     0.657     0.247     0.061     0.022     1.738     0.772     0.649     0.240     0.058     0.019
1993     1.747     0.761     0.655     0.246     0.063     0.023     1.721     0.757     0.648     0.239     0.059     0.019
1994     1.805     0.782     0.671     0.262     0.068     0.023     1.778     0.777     0.664     0.254     0.063     0.020
1995     1.805     0.780     0.667     0.265     0.069     0.025     1.778     0.775     0.660     0.257     0.064     0.022
1996     1.748     0.766     0.637     0.255     0.065     0.024     1.719     0.761     0.629     0.246     0.061     0.021
1997     1.750     0.748     0.656     0.254     0.066     0.026     1.720     0.742     0.647     0.247     0.061     0.023
1998     1.719     0.738     0.647     0.245     0.064     0.026     1.689     0.732     0.637     0.238     0.059     0.022
1999     1.733     0.749     0.645     0.247     0.067     0.026     1.702     0.743     0.635     0.239     0.062     0.023
2000     1.769     0.770     0.655     0.250     0.065     0.028     1.734     0.763     0.645     0.242     0.060     0.024
2001     1.740     0.764     0.637     0.245     0.066     0.028     1.706     0.758     0.626     0.236     0.061     0.025
2002     1.720     0.752     0.632     0.241     0.065     0.029     1.683     0.744     0.621     0.233     0.060     0.025
2003     1.755     0.775     0.642     0.249     0.060     0.029     1.716     0.768     0.629     0.240     0.055     0.024
2004     1.781     0.784     0.649     0.256     0.064     0.027     1.743     0.777     0.638     0.246     0.058     0.023
2005     1.798     0.786     0.664     0.255     0.064     0.029     1.757     0.778     0.652     0.244     0.059     0.024
