AGE5P - Age in Five Year Groups,SEXP Sex,INDP - 1 Digit Level,OCCP - 1 Digit Level,GNGP Public/Private Sector,Persons
15-19 years,Male,"Agriculture, Forestry and Fishing",Managers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,897
,,,Professionals,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,35
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,428
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,23
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,23
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,148
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,427
,,,Labourers,National Government,0
,,,,State/Territory Government,3
,,,,Local Government,0
,,,,Private sector,3697
,,Mining,Managers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,0
,,,Professionals,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,12
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,524
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,3
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,10
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,4
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,171
,,,Labourers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,172
,,Manufacturing,Managers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,200
,,,Professionals,National Government,4
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,104
,,,Technicians and Trades Workers,National Government,17
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,5910
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,200
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,176
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1015
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1042
,,,Labourers,National Government,0
,,,,State/Territory Government,3
,,,,Local Government,0
,,,,Private sector,4086
,,"Electricity, Gas, Water and Waste Services",Managers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,6
,,,Professionals,National Government,0
,,,,State/Territory Government,4
,,,,Local Government,0
,,,,Private sector,9
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,87
,,,,Local Government,16
,,,,Private sector,337
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,0
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,21
,,,,Local Government,0
,,,,Private sector,30
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,60
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,8
,,,,Local Government,0
,,,,Private sector,73
,,,Labourers,National Government,0
,,,,State/Territory Government,22
,,,,Local Government,0
,,,,Private sector,195
,,Construction,Managers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,719
,,,Professionals,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,98
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,3
,,,,Local Government,11
,,,,Private sector,24725
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,45
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,302
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,147
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,773
,,,Labourers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,6665
,,Wholesale Trade,Managers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,61
,,,Professionals,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,88
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,799
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,37
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,226
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1427
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,860
,,,Labourers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,942
,,Retail Trade,Managers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,613
,,,Professionals,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,175
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,2867
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,408
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,586
,,,Sales Workers,National Government,0
,,,,State/Territory Government,3
,,,,Local Government,0
,,,,Private sector,37007
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,2089
,,,Labourers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,12513
,,Accommodation and Food Services,Managers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1132
,,,Professionals,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,130
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,2896
,,,Community and Personal Service Workers,National Government,7
,,,,State/Territory Government,7
,,,,Local Government,0
,,,,Private sector,12905
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,240
,,,Sales Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,16311
,,,Machinery Operators and Drivers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,2470
,,,Labourers,National Government,4
,,,,State/Territory Government,3
,,,,Local Government,0
,,,,Private sector,36684
,,"Transport, Postal and Warehousing",Managers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,49
,,,Professionals,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,53
,,,Technicians and Trades Workers,National Government,0
,,,,State/Territory Government,34
,,,,Local Government,13
,,,,Private sector,444
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,3
,,,,Private sector,91
,,,Clerical and Administrative Workers,National Government,72
,,,,State/Territory Government,7
,,,,Local Government,0
,,,,Private sector,429
,,,Sales Workers,National Government,15
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,182
,,,Machinery Operators and Drivers,National Government,14
,,,,State/Territory Government,4
,,,,Local Government,0
,,,,Private sector,1714
,,,Labourers,National Government,0
,,,,State/Territory Government,7
,,,,Local Government,0
,,,,Private sector,1260
,,Information Media and Telecommunications,Managers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,56
,,,Professionals,National Government,6
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,254
,,,Technicians and Trades Workers,National Government,4
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,339
,,,Community and Personal Service Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,62
,,,Clerical and Administrative Workers,National Government,0
,,,,State/Territory Government,0
,,,,Local Government,7
,,,,Private sector,187
,,,Sales Workers,National Government,5
,,,,State/Territory Government,0
,,,,Local Government,0
,,,,Private sector,1443
