Time Period,Measure,Persons,Males,Females,Age
2004,NOM arrivals,"351,010","182,390","168,630", ages
2004,NOM arrivals,"35,810","18,480","17,330",15-19
2004,NOM arrivals,"66,160","34,980","31,180",20-24
2004,NOM arrivals,"60,740","30,570","30,170",25-29
2004,NOM arrivals,"42,180","22,100","20,080",30-34
2004,NOM arrivals,"27,740","14,820","12,920",35-39
2004,NOM arrivals,"20,230","11,050","9,180",40-44
2004,NOM arrivals,"13,380","7,250","6,130",45-49
2004,NOM arrivals,"9,190","4,850","4,340",50-54
2004,NOM arrivals,"7,760","3,900","3,870",55-59
2004,NOM arrivals,"5,460","2,640","2,820",60-64
2004,NOM arrivals,"9,270","4,390","4,880",65 and over
2004,NOM departures,"212,220","113,830","98,390", ages
2004,NOM departures,"8,640","4,400","4,240",15-19
2004,NOM departures,"38,660","19,360","19,300",20-24
2004,NOM departures,"42,800","22,940","19,860",25-29
2004,NOM departures,"26,160","14,310","11,850",30-34
2004,NOM departures,"17,110","9,900","7,220",35-39
2004,NOM departures,"13,140","7,880","5,260",40-44
2004,NOM departures,"10,270","5,950","4,320",45-49
2004,NOM departures,"8,470","4,740","3,730",50-54
2004,NOM departures,"7,210","3,990","3,220",55-59
2004,NOM departures,"5,020","2,660","2,350",60-64
2004,NOM departures,"9,590","4,870","4,710",65 and over
2005,NOM arrivals,"362,180","188,740","173,450", ages
2005,NOM arrivals,"32,720","17,170","15,550",15-19
2005,NOM arrivals,"64,720","33,800","30,920",20-24
2005,NOM arrivals,"63,170","31,400","31,770",25-29
2005,NOM arrivals,"44,490","23,220","21,280",30-34
2005,NOM arrivals,"30,800","16,730","14,070",35-39
2005,NOM arrivals,"22,160","12,420","9,740",40-44
2005,NOM arrivals,"14,350","8,100","6,260",45-49
2005,NOM arrivals,"9,950","5,380","4,570",50-54
2005,NOM arrivals,"8,180","4,280","3,900",55-59
2005,NOM arrivals,"5,570","2,780","2,790",60-64
2005,NOM arrivals,"8,660","4,080","4,580",65 and over
2005,NOM departures,"205,000","112,770","92,230", ages
2005,NOM departures,"8,850","4,620","4,240",15-19
2005,NOM departures,"39,120","19,860","19,260",20-24
2005,NOM departures,"42,090","22,990","19,100",25-29
2005,NOM departures,"25,110","14,300","10,810",30-34
2005,NOM departures,"17,090","10,220","6,870",35-39
2005,NOM departures,"13,280","8,230","5,060",40-44
2005,NOM departures,"10,090","6,210","3,880",45-49
2005,NOM departures,"7,800","4,620","3,180",50-54
2005,NOM departures,"6,350","3,610","2,730",55-59
2005,NOM departures,"3,910","2,170","1,750",60-64
2005,NOM departures,"6,930","3,440","3,490",65 and over
2006,NOM arrivals,"402,140","211,340","190,800", ages
2006,NOM arrivals,"37,310","19,810","17,510",15-19
2006,NOM arrivals,"74,430","39,400","35,030",20-24
2006,NOM arrivals,"73,250","37,070","36,180",25-29
2006,NOM arrivals,"48,970","25,750","23,220",30-34
2006,NOM arrivals,"34,480","18,660","15,820",35-39
2006,NOM arrivals,"24,410","13,500","10,910",40-44
2006,NOM arrivals,"15,140","8,610","6,530",45-49
2006,NOM arrivals,"9,900","5,380","4,520",50-54
2006,NOM arrivals,"7,650","4,040","3,620",55-59
2006,NOM arrivals,"5,390","2,730","2,660",60-64
2006,NOM arrivals,"8,080","3,870","4,210",65 and over
2006,NOM departures,"204,650","113,010","91,640", ages
2006,NOM departures,"8,560","4,600","3,960",15-19
2006,NOM departures,"38,060","19,680","18,380",20-24
2006,NOM departures,"42,590","23,200","19,390",25-29
2006,NOM departures,"25,470","14,480","10,980",30-34
2006,NOM departures,"17,510","10,470","7,040",35-39
2006,NOM departures,"12,560","7,770","4,780",40-44
2006,NOM departures,"9,780","5,960","3,830",45-49
2006,NOM departures,"7,890","4,660","3,220",50-54
2006,NOM departures,"6,340","3,660","2,690",55-59
2006,NOM departures,"4,050","2,150","1,900",60-64
