Canada, Period fertility rates by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 06/12/2021
Year    Age        ASFR
1921     12-    0.00000
1921     13     0.00004
1921     14     0.00060
1921     15     0.00284
1921     16     0.01037
1921     17     0.02809
1921     18     0.05757
1921     19     0.09128
1921     20     0.12041
1921     21     0.14939
1921     22     0.17009
1921     23     0.18451
1921     24     0.19815
1921     25     0.20168
1921     26     0.19177
1921     27     0.18313
1921     28     0.17923
1921     29     0.18163
1921     30     0.17517
1921     31     0.15960
1921     32     0.14978
1921     33     0.14475
1921     34     0.14273
1921     35     0.13407
1921     36     0.12085
1921     37     0.10905
1921     38     0.09753
1921     39     0.08547
1921     40     0.06815
1921     41     0.05383
1921     42     0.04399
1921     43     0.03515
1921     44     0.02593
1921     45     0.02097
1921     46     0.00833
1921     47     0.00149
1921     48     0.00020
1921     49     0.00003
1921     50     0.00000
1921     51     0.00000
1921     52     0.00000
1921     53     0.00000
1921     54     0.00000
1921     55+    0.00000
1922     12-    0.00000
1922     13     0.00005
1922     14     0.00074
1922     15     0.00329
1922     16     0.01131
1922     17     0.02883
1922     18     0.05630
1922     19     0.08732
1922     20     0.11451
1922     21     0.14069
1922     22     0.15952
1922     23     0.17338
1922     24     0.18760
1922     25     0.19258
1922     26     0.18455
1922     27     0.17736
1922     28     0.17421
1922     29     0.17657
1922     30     0.17034
1922     31     0.15558
1922     32     0.14605
1922     33     0.14091
1922     34     0.13854
1922     35     0.12906
1922     36     0.11545
1922     37     0.10474
1922     38     0.09502
1922     39     0.08473
1922     40     0.07282
1922     41     0.05938
1922     42     0.04378
1922     43     0.02973
1922     44     0.01889
1922     45     0.01178
1922     46     0.00704
1922     47     0.00374
1922     48     0.00184
1922     49     0.00086
1922     50     0.00046
1922     51     0.00022
1922     52     0.00008
1922     53     0.00003
1922     54     0.00001
1922     55+    0.00000
1923     12-    0.00000
1923     13     0.00005
1923     14     0.00076
1923     15     0.00323
1923     16     0.01059
1923     17     0.02593
1923     18     0.04945
1923     19     0.07725
1923     20     0.10393
1923     21     0.13000
1923     22     0.14986
1923     23     0.16468
1923     24     0.17852
1923     25     0.18292
1923     26     0.17575
1923     27     0.16925
1923     28     0.16659
1923     29     0.16928
1923     30     0.16365
1923     31     0.14960
1923     32     0.14057
1923     33     0.13576
1923     34     0.13359
1923     35     0.12480
1923     36     0.11180
1923     37     0.10113
1923     38     0.09120
1923     39     0.08074
1923     40     0.06925
1923     41     0.05629
1923     42     0.04128
1923     43     0.02791
1923     44     0.01773
1923     45     0.01096
1923     46     0.00669
1923     47     0.00383
1923     48     0.00208
1923     49     0.00108
1923     50     0.00062
1923     51     0.00029
1923     52     0.00010
1923     53     0.00003
1923     54     0.00001
1923     55+    0.00000
1924     12-    0.00000
1924     13     0.00004
1924     14     0.00060
1924     15     0.00276
1924     16     0.00976
1924     17     0.02558
1924     18     0.05112
1924     19     0.08027
1924     20     0.10562
1924     21     0.13069
1924     22     0.14903
1924     23     0.16271
1924     24     0.17671
1924     25     0.18154
1924     26     0.17424
1924     27     0.16787
1924     28     0.16557
1924     29     0.16880
