Denmark, Period fertility rates by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 29/04/2022
Year    ARDY   Cohort        ASFR
1916     12-    1904+     0.00000
1916     13     1903      0.00000
1916     14     1902      0.00002
1916     15     1901      0.00024
1916     16     1900      0.00239
1916     17     1899      0.00982
1916     18     1898      0.02286
1916     19     1897      0.04620
1916     20     1896      0.07380
1916     21     1895      0.09949
1916     22     1894      0.12311
1916     23     1893      0.14326
1916     24     1892      0.15673
1916     25     1891      0.16824
1916     26     1890      0.17767
1916     27     1889      0.17516
1916     28     1888      0.17628
1916     29     1887      0.17577
1916     30     1886      0.17393
1916     31     1885      0.16000
1916     32     1884      0.14996
1916     33     1883      0.14816
1916     34     1882      0.13990
1916     35     1881      0.13226
1916     36     1880      0.12269
1916     37     1879      0.11410
1916     38     1878      0.10575
1916     39     1877      0.09483
1916     40     1876      0.07920
1916     41     1875      0.06672
1916     42     1874      0.05692
1916     43     1873      0.04168
1916     44     1872      0.02841
1916     45     1871      0.01812
1916     46     1870      0.00927
1916     47     1869      0.00383
1916     48     1868      0.00170
1916     49     1867      0.00036
1916     50     1866      0.00007
1916     51     1865      0.00012
1916     52     1864      0.00003
1916     53     1863      0.00000
1916     54     1862      0.00005
1916     55+    1861-     0.00003
1917     12-    1905+     0.00000
1917     13     1904      0.00000
1917     14     1903      0.00003
1917     15     1902      0.00032
1917     16     1901      0.00199
1917     17     1900      0.00848
1917     18     1899      0.02303
1917     19     1898      0.04324
1917     20     1897      0.07029
1917     21     1896      0.09901
1917     22     1895      0.12070
1917     23     1894      0.14041
1917     24     1893      0.15676
1917     25     1892      0.16495
1917     26     1891      0.17092
1917     27     1890      0.17390
1917     28     1889      0.16915
1917     29     1888      0.16593
1917     30     1887      0.16406
1917     31     1886      0.15661
1917     32     1885      0.14969
1917     33     1884      0.14301
1917     34     1883      0.13135
1917     35     1882      0.12514
1917     36     1881      0.12014
1917     37     1880      0.10815
1917     38     1879      0.09936
1917     39     1878      0.08875
1917     40     1877      0.07772
1917     41     1876      0.06474
1917     42     1875      0.04989
1917     43     1874      0.03866
1917     44     1873      0.02768
1917     45     1872      0.01603
1917     46     1871      0.00913
1917     47     1870      0.00396
1917     48     1869      0.00114
1917     49     1868      0.00044
1917     50     1867      0.00015
1917     51     1866      0.00013
1917     52     1865      0.00004
1917     53     1864      0.00000
1917     54     1863      0.00000
1917     55+    1862-     0.00000
1918     12-    1906+     0.00000
1918     13     1905      0.00000
1918     14     1904      0.00002
1918     15     1903      0.00025
1918     16     1902      0.00180
1918     17     1901      0.00844
1918     18     1900      0.02299
1918     19     1899      0.04381
1918     20     1898      0.07075
1918     21     1897      0.09500
1918     22     1896      0.12025
1918     23     1895      0.14249
1918     24     1894      0.15893
1918     25     1893      0.16952
1918     26     1892      0.17147
1918     27     1891      0.17638
1918     28     1890      0.17383
1918     29     1889      0.16571
1918     30     1888      0.16391
1918     31     1887      0.15959
1918     32     1886      0.15117
1918     33     1885      0.14239
1918     34     1884      0.13586
1918     35     1883      0.12888
1918     36     1882      0.12020
1918     37     1881      0.11394
1918     38     1880      0.10421
1918     39     1879      0.09382
1918     40     1878      0.08218
1918     41     1877      0.06723
1918     42     1876      0.05340
1918     43     1875      0.04240
1918     44     1874      0.02822
1918     45     1873      0.01636
1918     46     1872      0.00881
1918     47     1871      0.00417
1918     48     1870      0.00155
