Italy, Period fertility rates by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 10/05/2022
Year    ARDY   Cohort        ASFR
1954     12-    1942+     0.00000
1954     13     1941      0.00005
1954     14     1940      0.00034
1954     15     1939      0.00116
1954     16     1938      0.00359
1954     17     1937      0.00877
1954     18     1936      0.01836
1954     19     1935      0.03274
1954     20     1934      0.05236
1954     21     1933      0.07459
1954     22     1932      0.09629
1954     23     1931      0.11745
1954     24     1930      0.13369
1954     25     1929      0.14123
1954     26     1928      0.14682
1954     27     1927      0.14887
1954     28     1926      0.14441
1954     29     1925      0.13824
1954     30     1924      0.13244
1954     31     1923      0.12403
1954     32     1922      0.11392
1954     33     1921      0.10611
1954     34     1920      0.09756
1954     35     1919      0.09089
1954     36     1918      0.08305
1954     37     1917      0.07355
1954     38     1916      0.06513
1954     39     1915      0.05639
1954     40     1914      0.04672
1954     41     1913      0.03808
1954     42     1912      0.02964
1954     43     1911      0.02106
1954     44     1910      0.01398
1954     45     1909      0.00823
1954     46     1908      0.00432
1954     47     1907      0.00194
1954     48     1906      0.00082
1954     49     1905      0.00034
1954     50     1904      0.00013
1954     51     1903      0.00006
1954     52     1902      0.00003
1954     53     1901      0.00001
1954     54     1900      0.00000
1954     55+    1899-     0.00000
1955     12-    1943+     0.00000
1955     13     1942      0.00004
1955     14     1941      0.00034
1955     15     1940      0.00123
1955     16     1939      0.00377
1955     17     1938      0.00912
1955     18     1937      0.01867
1955     19     1936      0.03318
1955     20     1935      0.05260
1955     21     1934      0.07536
1955     22     1933      0.09843
1955     23     1932      0.11743
1955     24     1931      0.13205
1955     25     1930      0.14337
1955     26     1929      0.14664
1955     27     1928      0.14689
1955     28     1927      0.14589
1955     29     1926      0.13886
1955     30     1925      0.13105
1955     31     1924      0.12331
1955     32     1923      0.11376
1955     33     1922      0.10384
1955     34     1921      0.09570
1955     35     1920      0.08729
1955     36     1919      0.08086
1955     37     1918      0.07282
1955     38     1917      0.06290
1955     39     1916      0.05464
1955     40     1915      0.04581
1955     41     1914      0.03671
1955     42     1913      0.02825
1955     43     1912      0.02013
1955     44     1911      0.01291
1955     45     1910      0.00779
1955     46     1909      0.00401
1955     47     1908      0.00178
1955     48     1907      0.00068
1955     49     1906      0.00028
1955     50     1905      0.00013
1955     51     1904      0.00006
1955     52     1903      0.00003
1955     53     1902      0.00001
1955     54     1901      0.00001
