United States, Period fertility rates by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 27/06/2022
Year    ARDY   Cohort        ASFR
1933     12-    1921+     0.00001
1933     13     1920      0.00019
1933     14     1919      0.00098
1933     15     1918      0.00377
1933     16     1917      0.01204
1933     17     1916      0.02800
1933     18     1915      0.05187
1933     19     1914      0.07729
1933     20     1913      0.09499
1933     21     1912      0.10423
1933     22     1911      0.10991
1933     23     1910      0.11608
1933     24     1909      0.11654
1933     25     1908      0.11440
1933     26     1907      0.11158
1933     27     1906      0.10465
1933     28     1905      0.10223
1933     29     1904      0.09691
1933     30     1903      0.09104
1933     31     1902      0.07909
1933     32     1901      0.07309
1933     33     1900      0.07829
1933     34     1899      0.06783
1933     35     1898      0.05982
1933     36     1897      0.05739
1933     37     1896      0.05051
1933     38     1895      0.04781
1933     39     1894      0.04255
1933     40     1893      0.03422
1933     41     1892      0.02473
1933     42     1891      0.01922
1933     43     1890      0.01589
1933     44     1889      0.01029
1933     45     1888      0.00665
1933     46     1887      0.00372
1933     47     1886      0.00177
1933     48     1885      0.00103
1933     49     1884      0.00058
1933     50     1883      0.00020
1933     51     1882      0.00005
1933     52     1881      0.00003
1933     53     1880      0.00003
1933     54     1879      0.00003
1933     55+    1878-     0.00001
1934     12-    1922+     0.00000
1934     13     1921      0.00014
1934     14     1920      0.00106
1934     15     1919      0.00411
1934     16     1918      0.01277
1934     17     1917      0.02965
1934     18     1916      0.05480
1934     19     1915      0.08137
1934     20     1914      0.10021
1934     21     1913      0.11074
1934     22     1912      0.11561
1934     23     1911      0.11934
1934     24     1910      0.12158
1934     25     1909      0.11885
1934     26     1908      0.11478
1934     27     1907      0.10932
1934     28     1906      0.10531
1934     29     1905      0.10022
1934     30     1904      0.09465
1934     31     1903      0.08238
1934     32     1902      0.07340
1934     33     1901      0.07265
1934     34     1900      0.07178
1934     35     1899      0.06460
1934     36     1898      0.05516
1934     37     1897      0.05011
1934     38     1896      0.04746
1934     39     1895      0.04285
1934     40     1894      0.03405
1934     41     1893      0.02445
1934     42     1892      0.01924
1934     43     1891      0.01560
1934     44     1890      0.00997
1934     45     1889      0.00635
1934     46     1888      0.00355
1934     47     1887      0.00173
1934     48     1886      0.00104
1934     49     1885      0.00061
1934     50     1884      0.00022
1934     51     1883      0.00006
1934     52     1882      0.00002
1934     53     1881      0.00001
1934     54     1880      0.00001
1934     55+    1879-     0.00000
1935     12-    1923+     0.00001
1935     13     1922      0.00017
1935     14     1921      0.00111
1935     15     1920      0.00441
1935     16     1919      0.01342
1935     17     1918      0.03014
1935     18     1917      0.05503
1935     19     1916      0.08145
1935     20     1915      0.10055
1935     21     1914      0.11156
1935     22     1913      0.11687
1935     23     1912      0.11999
1935     24     1911      0.11909
1935     25     1910      0.11737
1935     26     1909      0.11308
1935     27     1908      0.10695
1935     28     1907      0.10492
1935     29     1906      0.09836
1935     30     1905      0.09297
1935     31     1904      0.08161
1935     32     1903      0.07263
1935     33     1902      0.06863
1935     34     1901      0.06292
1935     35     1900      0.06495
1935     36     1899      0.05709
1935     37     1898      0.04614
1935     38     1897      0.04484
1935     39     1896      0.04046
1935     40     1895      0.03278
1935     41     1894      0.02350
1935     42     1893      0.01815
1935     43     1892      0.01471
1935     44     1891      0.00926
1935     45     1890      0.00588
1935     46     1889      0.00330
1935     47     1888      0.00166
1935     48     1887      0.00094
1935     49     1886      0.00054
1935     50     1885      0.00023
1935     51     1884      0.00007
1935     52     1883      0.00003
1935     53     1882      0.00004
1935     54     1881      0.00003
1935     55+    1880-     0.00001
1936     12-    1924+     0.00001
1936     13     1923      0.00017
1936     14     1922      0.00097
1936     15     1921      0.00418
1936     16     1920      0.01333
1936     17     1919      0.03007
1936     18     1918      0.05405
1936     19     1917      0.08072
1936     20     1916      0.09929
1936     21     1915      0.11183
1936     22     1914      0.11776
1936     23     1913      0.12057
1936     24     1912      0.12007
1936     25     1911      0.11661
1936     26     1910      0.11349
1936     27     1909      0.10643
1936     28     1908      0.10292
1936     29     1907      0.09791
1936     30     1906      0.09157
1936     31     1905      0.08039
1936     32     1904      0.07177
1936     33     1903      0.06847
1936     34     1902      0.06044
1936     35     1901      0.05661
1936     36     1900      0.05690
1936     37     1899      0.04779
1936     38     1898      0.04072
1936     39     1897      0.03760
1936     40     1896      0.03068
1936     41     1895      0.02228
1936     42     1894      0.01707
1936     43     1893      0.01367
1936     44     1892      0.00869
1936     45     1891      0.00543
1936     46     1890      0.00312
1936     47     1889      0.00153
1936     48     1888      0.00084
1936     49     1887      0.00050
1936     50     1886      0.00022
1936     51     1885      0.00006
1936     52     1884      0.00004
1936     53     1883      0.00003
1936     54     1882      0.00003
1936     55+    1881-     0.00002
1937     12-    1925+     0.00002
1937     13     1924      0.00021
1937     14     1923      0.00105
1937     15     1922      0.00438
1937     16     1921      0.01394
1937     17     1920      0.03269
1937     18     1919      0.05768
1937     19     1918      0.08291
1937     20     1917      0.10239
1937     21     1916      0.11406
1937     22     1915      0.12093
1937     23     1914      0.12568
1937     24     1913      0.12482
1937     25     1912      0.11977
1937     26     1911      0.11482
1937     27     1910      0.10961
1937     28     1909      0.10501
1937     29     1908      0.09899
1937     30     1907      0.09363
1937     31     1906      0.08188
1937     32     1905      0.07326
1937     33     1904      0.06866
1937     34     1903      0.06089
1937     35     1902      0.05507
1937     36     1901      0.05062
1937     37     1900      0.04869
1937     38     1899      0.04267
1937     39     1898      0.03487
1937     40     1897      0.02921
1937     41     1896      0.02141
1937     42     1895      0.01656
1937     43     1894      0.01287
1937     44     1893      0.00810
1937     45     1892      0.00507
