Age	Population	NSW.to.RAU	Mx	ax
0	47249	0.0144652	0.0022223	0.14
1	47936	0.0208095	0.0001878	0.5
2	49731	0.0201386	0.0001206	0.5
3	48880	0.0198539	0.0001228	0.5
4	49187	0.0191131	0.0000610	0.5
5	49723	0.0169531	0.0000804	0.5
6	49527	0.0156512	0.0000202	0.5
7	49505	0.0149117	0.0000606	0.5
8	49627	0.0139849	0.0000403	0.5
9	48835	0.0139876	0.0001024	0.5
10	49027	0.0124603	0.0000612	0.5
11	48258	0.0129451	0.0000612	0.5
12	46195	0.0132207	0.0000649	0.5
13	44653	0.0110870	0.0001792	0.5
14	43763	0.0109586	0.0001371	0.5
15	43989	0.0109094	0.0000909	0.5
16	43844	0.0111976	0.0000684	0.5
17	45069	0.0134173	0.0002219	0.5
18	47285	0.0231972	0.0001269	0.5
19	48747	0.0248690	0.0002667	0.5
20	50016	0.0256311	0.0001999	0.5
21	50853	0.0250630	0.0001180	0.5
22	52821	0.0248583	0.0001704	0.5
23	56676	0.0273590	0.0001588	0.5
24	58102	0.0264409	0.0001033	0.5
25	57864	0.0274803	0.0001210	0.5
26	59046	0.0275720	0.0001186	0.5
27	60759	0.0268652	0.0002140	0.5
28	61809	0.0253768	0.0003236	0.5
29	60917	0.0243285	0.0003119	0.5
30	60480	0.0235104	0.0003307	0.5
31	59923	0.0229160	0.0001502	0.5
32	60047	0.0218037	0.0002998	0.5
33	59236	0.0213800	0.0004052	0.5
34	59237	0.0196022	0.0002363	0.5
35	58998	0.0194379	0.0004915	0.5
36	56903	0.0192820	0.0004745	0.5
37	55422	0.0178792	0.0004150	0.5
38	52988	0.0167803	0.0005662	0.5
39	51700	0.0164482	0.0002515	0.5
40	50793	0.0144506	0.0005513	0.5
41	50214	0.0136887	0.0009161	0.5
42	50467	0.0127948	0.0007926	0.5
43	50400	0.0122305	0.0008333	0.5
44	52073	0.0127044	0.0006721	0.5
45	53478	0.0112177	0.0009911	0.5
46	55168	0.0113678	0.0011238	0.5
47	55753	0.0103952	0.0009865	0.5
48	51611	0.0107789	0.0012400	0.5
49	51072	0.0109363	0.0016056	0.5
50	49650	0.0114417	0.0011883	0.5
51	47909	0.0098317	0.0016698	0.5
52	48161	0.0099256	0.0018272	0.5
53	48348	0.0106620	0.0019649	0.5
54	50659	0.0109790	0.0019345	0.5
55	51369	0.0101654	0.0022192	0.5
56	50872	0.0101411	0.0021426	0.5
57	50734	0.0101848	0.0027595	0.5
58	49305	0.0102313	0.0032654	0.5
59	47789	0.0108209	0.0030760	0.5
60	47909	0.0098544	0.0029640	0.5
61	46273	0.0097013	0.0040196	0.5
62	45046	0.0097854	0.0038627	0.5
63	43916	0.0095893	0.0043948	0.5
64	42732	0.0099107	0.0047505	0.5
65	41907	0.0090850	0.0045100	0.5
66	40385	0.0089481	0.0053485	0.5
67	39785	0.0077087	0.0061330	0.5
68	38713	0.0087736	0.0072844	0.5
69	37235	0.0076550	0.0078421	0.5
70	37396	0.0075218	0.0075409	0.5
71	38181	0.0072894	0.0094550	0.5
72	32591	0.0068966	0.0107085	0.5
73	30852	0.0059588	0.0131596	0.5
74	29374	0.0056539	0.0131068	0.5
75	26397	0.0046313	0.0148881	0.5
76	25677	0.0046405	0.0186938	0.5
77	24137	0.0042948	0.0188093	0.5
78	22831	0.0049048	0.0221190	0.5
79	21704	0.0036613	0.0231294	0.5
80	20467	0.0050180	0.0281917	0.5
81	19494	0.0043293	0.0330358	0.5
82	18252	0.0045644	0.0356673	0.5
83	16580	0.0044179	0.0402292	0.5
84	15118	0.0038568	0.0481545	0.5
85	14234	0.0043493	0.0572573	0.5
86	13389	0.0044495	0.0604227	0.5
87	12933	0.0044567	0.0712132	0.5
88	11815	0.0046458	0.0850614	0.5
89	10157	0.0049695	0.0991434	0.5
90	9061	0.0048887	0.1144465	0.5
91	7943	0.0046308	0.1212388	0.5
92	6591	0.0043689	0.1520255	0.5
93	5513	0.0038464	0.1688736	0.5
94	4333	0.0033919	0.1846296	0.5
95	3528	0.0027202	0.1802721	0.5
96	2564	0.0023089	0.2293292	0.5
97	1862	0.0018593	0.2593985	0.5
98	1268	0.0015214	0.2547319	0.5
99	753	0.0013689	0.2589641	0.5
100	941	0.0005658	0.5026567	1.38
