Age	Japan	USA
12	0	0.00003
13	0.00001	0.00013
14	0.00006	0.00069
15	0.00019	0.0024
16	0.00081	0.00614
17	0.0019	0.01153
18	0.00346	0.02045
19	0.00707	0.0325
20	0.01106	0.03779
21	0.01479	0.03703
22	0.01713	0.03629
23	0.02045	0.0353
24	0.0261	0.0343
25	0.03235	0.03456
26	0.04145	0.03457
27	0.04978	0.0354
28	0.05534	0.03667
29	0.05839	0.0374
30	0.05458	0.03741
31	0.04829	0.03526
32	0.04137	0.03084
33	0.03569	0.02642
34	0.03151	0.02227
35	0.02785	0.01852
36	0.02318	0.01468
37	0.01857	0.01114
38	0.01503	0.00847
39	0.01182	0.00655
40	0.00896	0.00474
41	0.00617	0.0033
42	0.00373	0.0021
43	0.00206	0.00131
44	0.00104	0.00082
45	0.0004	0.00048
46	0.00019	0.0003
47	0.00009	0.00019
48	0.00004	0.00012
49	0.00003	0.00006
50	0.00002	0.00007
51	0.00001	0.00005
52	0.00001	0.00002
53	0.00001	0.00001
54	0.00001	0
55	0	0
