Year	Birth	Deaths	Population
1921	136198	54076.1	5432608
1922	137496	51311.0	5517553
1923	135222	56236.1	5637021
1924	134927	54980.0	5757630
1925	135792	54568.0	5880806
1926	133162	56951.9	6003365
1927	133698	58282.1	6124931
1928	134078	59377.9	6247543
1929	129480	60856.0	6352975
1930	128399	55331.1	6432476
1931	118509	56560.0	6498848
1932	110933	56757.0	6555408
1933	111269	59117.0	6606828
1934	109475	62229.0	6657221
1935	111325	63598.9	6706006
1936	116073	63931.9	6756976
1937	119131	64496.1	6812419
1938	120415	66451.0	6872732
1939	122891	69147.0	6938895
1940	126347	68384.1	7009051
1941	134525	71176.0	7080351
1942	136708	75190.8	7150978
1943	149295	74486.0	7213687
1944	153344	69595.9	7277986
1945	160560	70231.0	7356569
1946	176379	74660.9	7433522
1947	182384	73468.0	7526535
1948	177976	76839.1	7648906
1949	181261	75260.1	7813375
1950	190591	78187.1	8048903
1951	193298	81788.0	8305396
1952	201650	81596.9	8534149
1953	202235	80187.9	8731263
1954	202256	81805.0	8906848
1955	207677	82036.0	9099639
1956	212133	86088.0	9319768
1957	220358	84953.0	9539537
1958	222504	83723.1	9748503
1959	226976	89212.0	9957459
1960	230326	88464.0	10173622
1961	239986	88961.0	10399436
1962	237081	93163.0	10612271
1963	235689	94894.1	10811561
1964	229149	100733.9	11023371
1965	222854	100424.5	11240347
1966	223731	104457.0	11479406
1967	229296	102989.4	11707269
1968	240906	109197.0	11912790
1969	250176	106685.9	12144125
1970	257516	113488.0	12395526
1971	276362	110129.1	12798054
1972	264969	110717.1	13193724
1973	247670	110860.5	13411642
1974	245177	115679.5	13620307
1975	232738	108901.5	13812224
1976	227359	112802.0	13967628
1977	227072	108335.0	14114951
1978	224950	108744.9	14278411
1979	223321	106825.0	14439971
1980	226474	108265.0	14607920
1981	237652	109523.5	14811589
1982	238775	114075.5	15055338
1983	243002	110151.5	15288315
1984	242238	113320.5	15484582
1985	244037	117814.6	15681147
1986	243886	114348.0	15897071
1987	244199	118147.0	16134487
1988	251308	118991.0	16391056
1989	254606	125284.0	16667837
1990	262812	118967.8	16932433
1991	258274	118572.6	17170607
1992	264254	122995.5	17378459
1993	261521	120844.5	17553327
1994	262212	127044.9	17716386
1995	260156	125252.5	17901179
1996	257874	128350.0	18111213
1997	255478	128849.5	18318854
1998	253503	127503.4	18508084
1999	256332	128212.0	18701517
2000	255813	128950.0	18906221
2001	251548	128855.9	19135466
2002	253393	133220.8	19366325
2003	253776	131985.9	19590035
2004	254323	132426.1	19811614
2005	269011	131498.9	20041307
2006	276277	134457.8	20303809
2007	290648	139691.6	20630372
2008	293914	142472.7	21028993
2009	296296	141265.4	21461593
2010	297022	142712.5	21851223
2011	299725	146623.0	22175857
2012	308518	148961.9	22527167
2013	305355	148269.9	22920528
2014	307753	153951.9	23292928
2015	303954	157291.9	23636948
2016	308987	158607.8	23994742
2017	299189	164329.8	24385630
2018	296447	159425.0	24774604
2019	294883	164784.9	25151264
2020	285047	162566.9	25496892
2021	.	.	25671819
